"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"17094400","Brasnorte","MT",-12.5733,-57.8831,15,"Telemetria",3
"17094520","Brasnorte","MT",-12.5294,-57.8783,15,"Telemetria",2
"17094550","Brasnorte","MT",-12.4822,-57.8744,15,"Telemetria",3
"17098500","Nova Mutum","MT",-14.2169,-56.0347,15,"Telemetria",1
"17099000","Nova Mutum","MT",-13.8319,-56.4125,15,"Telemetria",1
"17099300","Diamantino","MT",-13.9589,-56.7422,60,"Telemetria",1
"17099500","São José do Rio Claro","MT",-13.5025,-56.6183,15,"Telemetria",1
"17130000","Apiacás","MT",-7.7311,-58.2808,15,"Telemetria",1
"171820401A","Porto Nacional","TO",-10.716111,-48.399722,10,"CEMADEN",2
"171830301A","Praia Norte","TO",-5.3956,-47.8114,10,"CEMADEN",6
"171886501A","Santa Fé do Araguaia","TO",-7.14869,-48.69083,10,"CEMADEN",6
"172020001A","São Miguel do Tocantins","TO",-5.55265,-47.57758,10,"CEMADEN",2
"172030901A","São Sebastião do Tocantins","TO",-5.259031,-48.201467,10,"CEMADEN",2
"172210701A","Xambioá","TO",-6.411258,-48.533743,10,"CEMADEN",3
"17224000","Diamantino","MT",-13.7028,-56.7861,60,"Telemetria",1
"17229000","Lucas do Rio Verde","MT",-13.2986,-55.9122,60,"Telemetria",1
"17240900","Nova Mutum","MT",-13.7583,-56.0536,60,"Telemetria",1
"17250550","Nova Mutum","MT",-13.5914,-56.2164,60,"Telemetria",2
"17270000","Lucas do Rio Verde","MT",-12.7933,-56.0108,60,"Telemetria",1
"17275100","Sinop","MT",-12.1731,-55.8994,60,"Telemetria",2
"17277300","Sinop","MT",-12.2881,-55.6008,60,"Telemetria",1
"17277500","Sinop","MT",-13.1433,-55.6669,60,"Telemetria",1
"17278500","Sorriso","MT",-12.7494,-56.0336,60,"Telemetria",1
"17280990","Sinop","MT",-11.2653,-55.4511,60,"Telemetria",2
"17343000","Peixoto de Azevedo","MT",-10.2194,-54.9708,15,"Telemetria",1
"17354000","Guarantã do Norte","MT",-9.8219,-54.9839,60,"Telemetria",2
"17354700","Guarantã do Norte","MT",-9.6836,-54.9633,60,"Telemetria",3
"17354930","Guarantã do Norte","MT",-9.7789,-54.9867,60,"Telemetria",2
"17355000","Guarantã do Norte","MT",-9.8386,-55.0192,60,"Telemetria",2
"17381100","Alta Floresta","MT",-9.6414,-56.0231,30,"Telemetria",1
"17385000","Tabaporã","MT",-10.6389,-56.5181,60,"Telemetria",2
"17387000","Juara","MT",-10.3711,-56.8881,60,"Telemetria",2
"17388000","Juara","MT",-10.5231,-56.9742,60,"Telemetria",3
"17389000","Juara","MT",-10.4361,-57.2683,60,"Telemetria",3
"17393500","Alta Floresta","MT",-10.3394,-56.9822,60,"Telemetria",1
"17395000","Nova Monte Verde","MT",-10.3264,-56.9839,60,"Telemetria",3
"17395900","Apiacás","MT",-9.1922,-57.068600000000004,30,"Telemetria",3
"17410100","Apiacás","MT",-8.8594,-57.4192,30,"Telemetria",3
