"gauge_code","estado","n_anos_aceitos","na_mediano_pct","na_max_pct"
"330455724A","RJ",3,0.7363013698630138,4.891552511415525
"330455725A","RJ",3,0.273972602739726,0.9798325722983257
"330455726A","RJ",3,2.3154490106544903,4.62138508371385
"330455727A","RJ",1,0.020928462709284626,0.020928462709284626
"330455728A","RJ",9,1.508751902587519,7.185412871888282
"330455729A","RJ",8,1.9279163651637263,6.902701882210079
"330455731A","RJ",5,1.0901826484018264,4.724499089253188
"330455732A","RJ",4,0.5555555555555555,5.44710806697108
"330455733A","RJ",4,2.5580289193302894,7.462431693989072
"330455734A","RJ",7,2.085235920852359,7.853293867638129
"330460704A","RJ",1,0.020928462709284626,0.020928462709284626
"330470601A","RJ",1,2.6293759512937593,2.6293759512937593
"330475502A","RJ",2,4.495814307458143,8.378995433789955
"330490402A","RJ",5,0.8257229832572299,2.402094717668488
"330490403A","RJ",1,0.020928462709284626,0.020928462709284626
"330490407A","RJ",3,0.020928462709284626,0.020928462709284626
"330510903A","RJ",2,0.7779581597092264,1.5349878567091682
"330510905A","RJ",4,1.7910834144272276,4.105783866057839
"330510906A","RJ",1,0.852359208523592,0.852359208523592
"330510907A","RJ",5,1.3869863013698631,4.2275494672754945
"330510908A","RJ",2,1.6818873668188739,2.332572298325723
"330515801A","RJ",1,0.030358227079538558,0.030358227079538558
"330515802A","RJ",1,8.000380517503805,8.000380517503805
"330550501A","RJ",4,4.873477929984779,8.938600485731634
"330550504A","RJ",2,4.697982425497584,8.667273831208258
"330555402A","RJ",1,0.020928462709284626,0.020928462709284626
"330555403A","RJ",1,0.9999241044323012,0.9999241044323012
"330555404A","RJ",3,3.203957382039574,9.536278081360049
"330570307A","RJ",1,0.4661339421613394,0.4661339421613394
"330580202G","RJ",1,2.0395738203957383,2.0395738203957383
"330580203A","RJ",2,2.7130898021308982,3.5521308980213093
"330580204A","RJ",4,0.8904109589041096,2.269277474195507
"330580205G","RJ",2,3.176463432891684,4.337899543378995
"330580219A","RJ",1,1.3261035007610351,1.3261035007610351
"330580225A","RJ",2,2.601788432267884,3.6815068493150687
"330600807A","RJ",2,0.43642810506441765,0.8519277474195506
"330610702A","RJ",2,3.07648401826484,4.442541856925419
"330630501A","RJ",4,4.540525114155251,9.177671523983
"330630502A","RJ",3,6.773211567732115,9.280130540376442
"350050101A","SP",5,1.8455098934550989,1.9273211567732116
"350050102A","SP",5,1.495433789954338,3.3770928462709286
"350060001A","SP",4,1.7104261796042617,9.536278081360049
"350190501A","SP",6,1.2203591419850122,5.840943683409437
"350190502A","SP",5,3.5654490106544903,9.145415907710989
"350190503A","SP",2,1.1510654490106544,1.5620243531202436
"350200201A","SP",3,1.1662861491628616,1.5924657534246576
"350250701A","SP",4,2.88664113248663,7.832952815829527
"350250702A","SP",2,0.8142658715306369,1.5981735159817352
"350250703A","SP",5,1.5981735159817352,6.15323315118397
"350250704A","SP",7,1.0464231354642313,3.417047184170472
"350270501A","SP",5,1.5900121432908316,4.22945205479452
"350270503A","SP",1,4.739345509893455,4.739345509893455
"350275401A","SP",2,2.5504185692541856,3.506468797564688
"350290301A","SP",6,2.501902587519026,9.39207650273224
"350315801A","SP",8,3.740565037303192,11.342592592592593
"350320801A","SP",2,4.930862256822284,8.80388585306618
"350320802A","SP",2,1.403158295281583,1.9577625570776258
"350330701A","SP",6,4.1029299847792995,9.014496053430479
"350350501A","SP",8,1.678082191780822,8.143594414086218
"350380201A","SP",8,1.4555756210960569,9.331360048573163
"350380202A","SP",1,9.232695810564664,9.232695810564664
"350380203A","SP",2,2.3316210045662102,2.8881278538812785
"350390101A","SP",1,2.8557838660578385,2.8557838660578385
"350410701A","SP",4,0.8837519025875189,1.3831811263318112
"350410702A","SP",3,0.7515220700152206,1.600076103500761
"350410703A","SP",2,3.7179341226472373,7.405510018214937
"350410704A","SP",2,3.2113312082574375,6.392304189435337
"350410705A","SP",3,3.498858447488584,3.6107316332726165
"350410706A","SP",5,5.279680365296803,8.452868852459016
"350450301A","SP",3,0.6906392694063926,3.7576103500761038
"350450302A","SP",7,1.5943683409436835,8.98413782635094
"350450303A","SP",7,1.5943683409436835,9.115057680631452
"350490901A","SP",3,5.057077625570776,6.798345476624165
"350535101A","SP",4,2.821537290715373,6.6381278538812785
"350540101A","SP",6,5.7343987823439875,11.228749241044323
"350570802A","SP",1,1.5981735159817352,1.5981735159817352
"350570803A","SP",2,0.8152171652901499,1.600076103500761
"350600301A","SP",8,1.9991308398000518,9.208029751062538
"350600302H","SP",1,2.393455098934551,2.393455098934551
"350600303A","SP",3,4.415905631659056,4.908675799086757
"350600304A","SP",2,6.345129375951293,11.955859969558599
"350600305A","SP",4,3.14117199391172,12.831050228310502
"350600307A","SP",2,1.3013698630136985,1.5981735159817352
"350635901A","SP",1,0.01141552511415525,0.01141552511415525
"350660701A","SP",5,2.945205479452055,5.690639269406392
"350700101A","SP",4,4.705098934550989,9.09798117789921
"350710001A","SP",3,2.049086757990868,18.11247723132969
"350715901A","SP",1,1.2750455373406193,1.2750455373406193
"350760501A","SP",2,4.106844324675,6.170309653916211
"350760502A","SP",3,1.1719939117199392,4.145738203957381
"350760503A","SP",4,1.3955479452054795,6.109593199757135
"350760504A","SP",3,7.4017152398299935,9.115296803652969
"350760505A","SP",3,1.7304189435336976,10.462204007285974
"350840501A","SP",2,3.0136986301369864,3.6415525114155254
"350840502A","SP",2,3.3723311791468094,6.253794778384942
"350840503A","SP",7,3.4075342465753424,11.040715372907153
"350850401A","SP",1,1.5943683409436835,1.5943683409436835
"350880101A","SP",6,2.567541856925419,9.177671523983
"350900701A","SP",1,0.02087128111718276,0.02087128111718276
"350900702A","SP",2,4.109822965790853,6.7736794171220405
"350900703H","SP",1,3.512176560121766,3.512176560121766
"350900705A","SP",5,1.5468036529680365,8.1644656952034
"350920501A","SP",1,10.22692774741955,10.22692774741955
"350920504A","SP",1,18.154219793564057,18.154219793564057
"350925402A","SP",1,0.08561643835616438,0.08561643835616438
"350950204A","SP",1,0.7724505327245054,0.7724505327245054
"350950206A","SP",1,0.030358227079538558,0.030358227079538558
"350950208A","SP",4,2.776826484018265,7.858986035215542
"350950230H","SP",1,0.5308219178082192,0.5308219178082192
"350960102A","SP",2,1.2732599121690744,1.7702641165755921
"350960103A","SP",3,2.207001522070015,6.268973891924712
"350970001A","SP",1,0.032343987823439876,0.032343987823439876
"350970001G","SP",2,2.3296430413121403,2.8328020643594414
"350970003G","SP",1,7.8557838660578385,7.8557838660578385
"350970004G","SP",1,1.5791476407914764,1.5791476407914764
